"Año";"Periodo";"Salida";"Entrada"
"2022";"Día 24 de febrero";"79.209";"10.946"
"2022";"Día 25 de febrero";"179.525";"22.737"
"2022";"Día 26 de febrero";"322.760";"35.130"
"2022";"Día 27 de febrero";"490.433";"46.112"
"2022";"Día 28 de febrero";"652.445";"55.309"
"2022";"Día 1 de marzo";"818.761";"66.222"
"2022";"Día 2 de marzo";"989.560";"76.598"
"2022";"Día 3 de marzo";"1.173.690";"86.915"
"2022";"Día 4 de marzo";"1.343.790";"96.389"
"2022";"Día 5 de marzo";"1.540.463";"107.717"
"2022";"Día 6 de marzo";"1.742.987";"118.375"
"2022";"Día 7 de marzo";"1.948.991";"127.511"
"2022";"Día 8 de marzo";"2.132.789";"137.426"
"2022";"Día 9 de marzo";"2.301.246";"147.916"
"2022";"Día 10 de marzo";"2.433.558";"170.333"
"2022";"Día 11 de marzo";"2.552.776";"182.674"
"2022";"Día 12 de marzo";"2.666.156";"195.801"
"2022";"Día 13 de marzo";"2.789.420";"208.232"
"2022";"Día 14 de marzo";"2.900.291";"217.609"
"2022";"Día 15 de marzo";"3.007.520";"228.626"
"2022";"Día 16 de marzo";"3.108.406";"241.091"
"2022";"Día 17 de marzo";"3.191.919";"254.074"
"2022";"Día 18 de marzo";"3.270.755";"270.187"
"2022";"Día 19 de marzo";"3.343.434";"288.874"
"2022";"Día 20 de marzo";"3.401.677";"305.567"
"2022";"Día 21 de marzo";"3.460.430";"317.764"
"2022";"Día 22 de marzo";"3.524.562";"331.134"
"2022";"Día 23 de marzo";"3.586.938";"344.865"
"2022";"Día 24 de marzo";"3.653.436";"359.561"
"2022";"Día 25 de marzo";"3.716.127";"375.764"
"2022";"Día 26 de marzo";"3.777.051";"395.458"
"2022";"Día 27 de marzo";"3.830.949";"412.601"
"2022";"Día 28 de marzo";"3.879.068";"428.238"
"2022";"Día 29 de marzo";"3.921.481";"444.894"
"2022";"Día 30 de marzo";"3.972.820";"462.878"
"2022";"Día 31 de marzo";"4.025.932";"481.670"
"2022";"Día 1 de abril";"4.074.831";"501.123"
"2022";"Día 2 de abril";"4.125.824";"525.206"
"2022";"Día 3 de abril";"4.173.337";"544.379"
"2022";"Día 4 de abril";"4.218.065";"561.432"
"2022";"Día 5 de abril";"4.267.209";"579.315"
"2022";"Día 6 de abril";"4.322.205";"598.357"
"2022";"Día 7 de abril";"4.377.667";"615.900"
"2022";"Día 8 de abril";"4.437.007";"636.012"
"2022";"Día 9 de abril";"4.499.306";"661.561"
"2022";"Día 10 de abril";"4.554.408";"684.457"
"2022";"Día 11 de abril";"4.608.108";"705.446"
"2022";"Día 12 de abril";"4.662.999";"727.286"
"2022";"Día 13 de abril";"4.718.591";"751.987"
"2022";"Día 14 de abril";"4.777.081";"779.493"
"2022";"Día 15 de abril";"4.831.290";"810.266"
"2022";"Día 16 de abril";"4.876.680";"843.376"
"2022";"Día 17 de abril";"4.914.996";"867.714"
"2022";"Día 18 de abril";"4.959.759";"886.269"
"2022";"Día 19 de abril";"5.013.506";"910.408"
"2022";"Día 20 de abril";"5.063.740";"938.283"
"2022";"Día 21 de abril";"5.112.058";"966.944"
"2022";"Día 22 de abril";"5.154.360";"996.236"
"2022";"Día 23 de abril";"5.190.003";"1.020.962"
"2022";"Día 24 de abril";"5.212.090";"1.035.338"
"2022";"Día 25 de abril";"5.244.021";"1.049.966"
"2022";"Día 26 de abril";"5.292.508";"1.069.431"
"2022";"Día 27 de abril";"5.347.117";"1.093.123"
"2022";"Día 28 de abril";"5.403.488";"1.118.622"
"2022";"Día 29 de abril";"5.457.721";"1.146.179"
"2022";"Día 30 de abril";"5.510.890";"1.178.893"
"2022";"Día 1 de mayo";"5.551.223";"1.207.719"
"2022";"Día 2 de mayo";"5.588.314";"1.231.077"
"2022";"Día 3 de mayo";"5.629.564";"1.253.424"
"2022";"Día 4 de mayo";"5.679.591";"1.276.738"
"2022";"Día 5 de mayo";"5.728.113";"1.301.794"
"2022";"Día 6 de mayo";"5.779.588";"1.326.261"
"2022";"Día 7 de mayo";"5.834.145";"1.352.050"
"2022";"Día 8 de mayo";"5.880.812";"1.373.438"
"2022";"Día 9 de mayo";"5.911.853";"1.392.707"
"2022";"Día 10 de mayo";"5.949.099";"1.420.979"
"2022";"Día 11 de mayo";"5.996.825";"1.455.445"
"2022";"Día 12 de mayo";"6.046.921";"1.489.579"
"2022";"Día 13 de mayo";"6.094.809";"1.523.827"
"2022";"Día 14 de mayo";"6.141.703";"1.562.828"
"2022";"Día 15 de mayo";"6.189.218";"1.602.792"
"2022";"Día 16 de mayo";"6.231.848";"1.636.827"
"2022";"Día 17 de mayo";"6.276.834";"1.669.412"
"2022";"Día 18 de mayo";"6.325.220";"1.704.964"
"2022";"Día 19 de mayo";"6.372.948";"1.740.088"
"2022";"Día 20 de mayo";"6.425.000";"1.777.580"
"2022";"Día 21 de mayo";"6.473.725";"1.819.752"
"2022";"Día 22 de mayo";"6.514.957";"1.860.190"
"2022";"Día 23 de mayo";"6.557.241";"1.889.783"
"2022";"Día 24 de mayo";"6.603.785";"1.918.605"
"2022";"Día 25 de mayo";"6.652.164";"1.948.743"
"2022";"Día 26 de mayo";"6.700.411";"1.978.341"
"2022";"Día 27 de mayo";"6.745.562";"2.014.654"
"2022";"Día 28 de mayo";"6.797.327";"2.054.533"
"2022";"Día 29 de mayo";"6.841.416";"2.092.182"
"2022";"Día 30 de mayo";"6.888.355";"2.125.235"
"2022";"Día 31 de mayo";"6.937.546";"2.160.146"
"2022";"Día 1 de junio";"6.985.799";"2.197.384"
"2022";"Día 2 de junio";"7.034.596";"2.224.366"
"2022";"Día 3 de junio";"7.084.496";"2.256.792"
"2022";"Día 4 de junio";"7.134.281";"2.293.225"
"2022";"Día 5 de junio";"7.176.559";"2.326.979"
"2022";"Día 6 de junio";"7.221.827";"2.356.913"
"2022";"Día 7 de junio";"7.270.939";"2.384.859"
"2022";"Día 8 de junio";"7.313.667";"2.413.483"
"2022";"Día 9 de junio";"7.366.368";"2.442.332"
"2022";"Día 10 de junio";"7.420.775";"2.475.312"
"2022";"Día 11 de junio";"7.476.185";"2.511.442"
"2022";"Día 12 de junio";"7.521.823";"2.545.258"
"2022";"Día 13 de junio";"7.567.024";"2.579.102"
"2022";"Día 14 de junio";"7.618.506";"2.607.621"
"2022";"Día 15 de junio";"7.673.467";"2.639.632"
"2022";"Día 16 de junio";"7.727.863";"2.673.655"
"2022";"Día 17 de junio";"7.786.169";"2.707.093"
"2022";"Día 18 de junio";"7.843.040";"2.740.347"
"2022";"Día 19 de junio";"7.899.287";"2.773.190"
"2022";"Día 20 de junio";"7.950.234";"2.804.095"
"2022";"Día 21 de junio";"8.007.014";"2.836.563"
"2022";"Día 22 de junio";"8.069.043";"2.870.156"
"2022";"Día 23 de junio";"8.133.324";"2.905.052"
"2022";"Día 24 de junio";"8.195.757";"2.940.457"
"2022";"Día 25 de junio";"8.257.603";"2.981.551"
"2022";"Día 26 de junio";"8.309.264";"3.023.109"
"2022";"Día 27 de junio";"8.356.169";"3.063.899"
"2022";"Día 28 de junio";"8.402.336";"3.097.412"